text,label
@nazomuzoo @MehmetOsmanli20 @feminaziqueen ++en baba projeler kimden çıkıyor TÜBİTAK teknofest gibi yarışlarda en basit örnek ve herkese eşit imkan var hatta kızlara pozitif ayrımcılık bile var,1
@cansjenny Beyran ve teknofest tivitinden sonra yeni takıntımız gibi sanki hı ? :d,0
"Teknofest, 2020.

f: Emre Akman
https://t.co/YOAzXQBehI

#etkinlik #kurumsal https://t.co/mMszMNLkOy",0
"Teknofest, 2019.

f: Emre Akman
https://t.co/YOAzXQBehI

#etkinlik #kurumsal https://t.co/NwtkeTXkVK",0
3c- Yine sizi tenzih ederek söylüyorum aynı fikirde değilsen her şey tukaka öyle mi? Yerli araba çalışmalarını da kötüleyelim eğer aynı görüşte değilsek ya da TEKNOFEST te katılan öğrencilerin başarılarını görmezden gelelim öylemi sırf siyasi sebeplerle++@mustafabiyik61 @corasalih,0
"@CENK08197944 @vekilince ABD ve Avrupa'da çocukların tamamının oyun konsolu var, bu yüzden o ülkelerde çocuklar Teknofest tarzı yerlere gitmiyor, ondan Avrupa, ABD çok geride(!) Bi bitmediniz!!!",0
@gazetesozcu teknofest zamanında daha çoktu o zaman nerdeydi valimiz teknofestten sonra başladı sürü bagışıklıgına bırakılmıştı antep,0
@vekilince Gençleri artık  bu playstationun hayali oyunları kesmiyor onlar artık TEKNOFEST ile dünyaya açılıp kendi yaptıkları füzeleri robotları insansız sihalar İhaları uçakları arabaları icat ediyorlar Elhamdülillah 🇹🇷🇹🇷🇹🇷,1
@Selcuk Emeğine sağlık hakkın ödenmez .#BayraktarTb2 #SİHA #SelcukBayraktar  #TEKNOFEST 🇹🇷✈️🚀💥,1
@Selcuk #MilliTeknolojiHamlesi @Selcuk 👏👏👏👍👍👍🇹🇷🇹🇷🇹🇷#Teknofest2020 #TEKNOFEST 👍🇹🇷,1
@vekilince Burakın ucuz siyaseti. Şimdi moda Teknofest,1
@hazin1717 Uffff  ps5 &gt;teknofest,0
zuhahahahah hayatın kadar teknofest finalisti olmuşumdur hiçbir faydasını görmedim https://t.co/AfqVFmsIfH,-1
"Allah'ına kurban enişte❤❤❤❤❤👍👍👍👍👍👏👏👏👏👐👐👐👐👐
Rabbim yar ve yardımcınız olsun.🙏
Bayraktar ve Teknofest ailesiyle gurur duyuyoruz. 🤗🤗🤗🤗🤗🤗 https://t.co/AgX9p3Tr0W",1
"TEKNOFEST 2020’de gerçekleştirilen etkinlikler 13 dilde tüm dünyaya aktarıldı https://t.co/BQTodu0YDA  #MilliTeknolojiHamlesi @TCSanayi
@T3Vakfi @dijital @AliTahaKoc @haluk @Selcuk @bthaber https://t.co/bad9fhfNVU",1
TEKNOFEST 2020 Roket Yarışları Tuz Gölü’nde başladı! https://t.co/GRdPvhn5VU,0
"Okulumuz Öğrencisi Nisanur Elmas, 27 Eylül'de TEKNOFEST 2020'ye ""ÇIĞAN"" projesi ile katıldı. Finallere kalan Öğrencimiz Okul Müdürümüz Yusuf ALTUNBAŞ ile birlikte İlçe Milli Eğitim Müdürümüz M.Mücahit YENTÜR'ü ziyaret ettiler.
@memleventyazici @sislimem https://t.co/BFuLkJmieM",0
"Farklı hikayelerle, aynı hedefe doğru, emin adımlarla...

Dünyanın En Büyük Havacılık, Uzay ve Teknoloji Festivali #TEKNOFEST için yaz okulumuzda afiş çalışması yapmıştık. 

#TEKNOFEST2020 
#MilliTeknolojiHamlesi https://t.co/yj8552J10E",1
"Bence camiye gitmek, namazını aksatmamak daha önemli. Ama teknofest e de gitsinler yani. https://t.co/t2nB4KYPrR",1
@vekilince Biz gençleri Teknofest e özendiriyoruz. Bunun derdine bakın. Sizden ne köy ne kasaba olur,1
@T3Vakfi Teknofest ve hamileri ne güzel ilim bilim insanları yetiştirmek mücadele ediyorsunuz,1
"@acarbaltas Ebeveyn farkındalığı milli bir mesele değil midir. 

Teknofest için gösterilen önem bence biraz daha diğer alanlara ve özellikle beşeri sermayenin en temeli olan çocuk gelişimi alanına kaydırılmalı.",0
@teknofestist Teknofest Teknofest genclerimizi düşünen onlara umut veren aile,1
Biride çıkıp demiyor ki bırakın oyun oynamıyı TEKNOFEST’e katılın vatana millete hayırlı olun diye.. https://t.co/RzF4Fab8x3,1
"İnsan Hayatına Fayda Sağlayacak Fikirler ve Projeler #TEKNOFEST'te Görücüye Çıktı! 👏🏻👏🏻👏🏻 

📹İnsanlık Yararına Teknoloji Yarışması 
📌Yaşama Açılan Konteyner Projesi

#MilliTeknolojiHamlesi 🇹🇷 https://t.co/iynutk8v1A",1
"Teknofest deki çalışmaları , geç kalınmış olsada tüm kalbimle destekliyorum, teknofest deki gençlerle konuştum kullanılan malzemelerin % 95 i çin malı dediler. İnşallah bizimde ürettigimiz günleri görürüz. Üniversiteler,Gençlerdeki heyecanı söndürmeyin desteginizi eksik etmeyin. https://t.co/mw8z0LiPAG",1
@vekilince Bir eğitimci olarak çocuklara playstation önereceğinize TEKNOFEST önerin.,1
@CENK08197944 @vekilince Teknofest de ne? hani şu uzaktan kumandalı oyuncak araba yapılan festival mi?,-1
"Bakınca yanlış RTye yanlış yorum gibi ama zaten herhangi bir şeye bundan fazla bir sözleri yok... E abi o kadar teknofest falan, bi AI yapın da bari şunlara vereceğinize Kalyona Cengize kaynak oluşturursunuz... https://t.co/oRjDNT9Rvj",0
"@MustafaOner93 @BoraKay28715603 @CENK08197944 @vekilince Hiç sormayın canım. Japonya'da bilgisayar bilimiyle uğraşan, teknolojide çağ atlatan çocuklar kesinlikle boşa vakit harcıyor. Bu saydığınız ülke ve kıtaların hepsi teknolojide bizden kat be kat önde. Teknofest'te biz anca Scratch'ten Mario yapaduralım.",-1
"TEKNOFEST-2019 Birincilik Ödülü, Sıfır Atık İnovasyon Ödülü ve şimdi de alınan Patent Ödülü vesilesiyle Yunus Emre Aydın ve Engin Ülger öğrencilerimizi tebrik eder, başarılarının iş yaşamında da devam etmesini dilerim. https://t.co/pqXiu4D6Lp",1
@CENK08197944 @vekilince Cenk Bey bunu yazdığınız platform ve telefon da yerli malı değil.Siz neden teknofest'e katılıp bunu yapmadınız? Ayrıca yazım kurallarına boş zamanda bir göz atmanızda fayda var,0
"@CENK08197944 @vekilince Şu teknofest papaz eriğini, imam eriğine çeviren, tübitak standının olduğu oluşum değil mi? Ben mi yanlış hatırlıyorum.",-1
"@CENK08197944 @vekilince 2. Netflix in içinde zararlı içeriğin olması baska birsey teknolojiyi takip edip, kullanmak başka birşey.. Netflix te gay var, bozuk aile düzeni var, vandallik var da..Bize akıl verdiğin Twitter Kabe den mi yayın yapıyor. Buraya her yazdığın Kelime teknofest için para kaynağı mi",0
"@CENK08197944 @vekilince 1. Her şey mi suç bu ülkede.. PlayStation oynama, muz pahalı yeme, tatil yapma, bir mekanda kahvaltı etme...bu ülkede yabancı dizi film izlenmese, gavur basın takip edilmese, drone u kim nereden duyacak ta teknofest te yerlisini tanitacakti.",0
@KucukkayaIsmail Gorme Engelli Bireylere yonelik renk kodlu kupler urettigimiz projemiz Teknofest Gaziantep'te Türkiye Birincisi oldu. Gorme Engelli Bireyler icin Zeugma resmini de yaptik hatta.Devrim niteliginde gorulen projemizi size de anlatmak isteriz.,1
içinde olmak bizim için çok faydalı olacaktır. Teknofest ülke çapında çok ses getirdi ve bizim için çok büyük fırsatlar sunuyor. Acaba Teknofest dışında da mühendislik öğrencilerini eğitebileceğiniz bu tarz projeler için de ön-ayak olabilir misiniz?,1
"@CENK08197944 @vekilince Tabi teknofest e katılmak icin kullanacağın arac gereçler bedava dimi. TR de hersey ucuz dimi? Komik şey  seni, az araştır da oyun oynayanlarin algısal işlemlerde oynamayanlardan daha iyi oldugunu okursun...",0
@vekilince Lan tavukçu sen bu kafayla mı ülkeyi yönetmeye talipsin bizim köy Bulgaristan’dan daha gelişmiş modern bir yer çok meraklıysan tatile gel bedavadır gençler için düşündüğün şeye bak teknofest diye bir festival duydun mu  yok işin puştluğundasınız siha yapıyorrr,0
@vekilince İşiniz gücünüz gençleri boş işlere yönlendirmek. En azından gençlerin TEKNOFEST’e gitmesini söyleyip ülkenize biraz faydanız olsun,1
"@CENK08197944 @vekilince PS5, XBOX ve içindeki oyunlar o bahsettiğin ""teknofest""teki trilyon dolarlık teknolojiler zaten. O oyunları oynayın ama siz de yapın falan desen boomer'lıktan biraz yırtabilirdin belki.",0
@vekilince Çok doğru ps5 gibi hazine varken kim ne yapsın eğitici programları yoksa nasıl yapılanı bozmayı öğrenecekler biz ailelerin tek derdi de çocuklarımızın ülke geleceğine yön verecek bireyler yetiştirmek değl en iyi ps oyunları oynayanı yetiştirmek teknofest falan hikaye komedisiniz,0
@vahdo3 Biraz önce @Reuters da kanada bize drone iha satmıyor diye Erdoğan ın şikayetçi olduğu haberini okudum. Teknofest düzenleyip damadın yaptığı iha nın havasını atmışlardı halbuki. Uçak noldu be 😄😄😄,0
"@vekilince Sayın İnce, sizin gibi değerli devlet büyüklerinin PlayStation muhabbeti yapmak yerine bu gibi şeylere kota koyup,gençleri Tübitak yarışmaları gibi,Teknofest gibi etkinliklere özendirmesi gerekmez mi?Ülkenin gençlerinden beklentiniz varsa PlayStationla  kıyaslama yapmayın lütfen.",0
Abi damadı drone iha üreticisi zaten o kadar teknofest etkinliği yaptınız. Kanada'ya niye muhtacız ki. Drone bile üretememişiz uçaktandan bahsediyoruz 🤦‍♀️🤦‍♀️ https://t.co/kpp2TjJplb,-1
"@vekilince Muharrem bey harikasınız 😂😂😂 çok önemli bir yere parmak bastınız. Teknoloji merakinizin bu kadar ileri seviyede olduğunu bilseydim Teknofest e davet ederdik sizi de . Bir de oradan deneyin şansınızı "" Gel bakalım Muharrem"" etiketi silinir belki.",1
şu tweetin altında playstation’u tekte okuyamayacak kesim diyor ki beyinlerini uyuşturuyor kitap okusunlar teknofest dbcndbs pls https://t.co/Rg6SBrDWwb,0
"Benim alanım teknoloji değil, ben ne yapayım Teknofest'te? https://t.co/JL7Oo1IrNC",0
@vekilince Biz gençlere PlayStation gibi değil @teknofest kendilerini hem eğlendirecek hem geliştirecek  hem ülkelerine faydalı olacak aktiviteler önerenlerin yanındayız.. Boş beleş siyaset vitrinini gençler yemez 😅,1
"Biri çıkar netflix der;
Diğeri playstation 5 der.
Bu çocuklara ve gençlere boşuna vaktinizi bu gibi boş işlere harcamayın ,yapın üretin TEKNOFEST'e katılın vatana millete faydanız olsun demezlerki?",1
"Manisa Şehit Fatih Kalu Kız Anadolu İHL takımı, Görme Engelliler İçin Sesli Haritalar projesiyle Teknofest 2020’de birincilik ödülünün sahibi oldu. Kapsayıcılık Takımının kızları, “İmam hatipliyiz, bu ülkenin geleceğiyiz” diyor. 

#İmamHatiplerTürkiyeninOkulları https://t.co/ousYidJtWl",1
Teknofest'e de katıldım oyun da oynuyom 🤔 https://t.co/dI8mTFygMx,0
@suleymansoylu Sayın bakanım biz Hakkari den savaş tatlı ve zafer tatlı  Gaziantep teknofest e katılmıştık  buraya yani Hakkari ye gelince bizi  yanına çağıracağınızı söylemiştiniz  inş en kısa zamanda bir araya geliriz ❤️,0
@CENK08197944 @vekilince Beyin göçünü tamamlamissin tebrik ederim teknofest kardes.,0
"@MustafaOner93 @AhmetCa10028434 @IrfanTiryaki6 @BoraKay28715603 @CENK08197944 @vekilince Ya kaçak içkiden oluyor bunlardaki faka
Yada
CHP zihniyeti olunca içmeden sarhoş olup rakı masasında m.kemali düşünüp devlete isyan eden nankörler bunlar. Bunlara Teknofest nedir anlatamazsın kardeş. Çapları yetmez. Ancak 
PlayStation kolu kontrol ederler.",0
@ekrem_imamoglu bune lan?duyan da teknolojik atılım yapmış sanar.gençlerin teknofest düzenledigi ülkede belediye başkanı duvar onarmış onunla övünüyor.olaya bak.,0
@vekilince Kitap okumayanları örnek göstermeyin sevmeyen okumaz ama seven oyun da oynar kitabını da okur sizin şu oyun oynamak yerine hayırlı işler yapsın yok Teknofest fln onlarla ilgilensin tamamda bu oyun oynansa da yapılamıyo mu birileri bide gelmiş gençlerimiz silah yapsın fln diyo,0
"@vekilince Mesele genç ise....
Neden TEKNOFEST ile ilgili bi tweet atmadınız ?",0
"@CENK08197944 @vekilince Teknofest için de elektronik malzeme gerekli, o malzemelerin fiyatları da bir hayli arttı. Ülke olarak kendimizin bu ürünleri üretmemiz şart.",0
ps5 ve teknofest arasında ki bağlantı nedir? https://t.co/AFnJWMNDVo,0
@CENK08197944 @vekilince Teknofest e katılan parlak beyinler boş zamanlarında PlayStation oynuyor dingil,0
@CENK08197944 @vekilince Tam malsın ya teknofest siksin seni,-1
@CENK08197944 @vekilince Bi de laf anlatıyorlar buna anlayacakmış gibi. Sensin boş iş götoş teknofest de sana girsin,-1
"@CENK08197944 @vekilince sayın troll, teknofest diyorsunuz ama bakın robotikte çok revaçta olan iki parçanın fiyatları bu şekilde",0
"Playstation 5 kirmizi cizgimiz. Erisilebilecek fiyatlarda olsun istiyoruz alt tarafi. Teknofest e de katildik, yurutmesinde duzenlenmesinde de calistik. Bi ps5 hakkimiz... Neyle neyi karşılaştırıyor adam sasilacak sey cidden https://t.co/oaRvI9z76n",0
@CENK08197944 @vekilince Teknofest'e gittik geldik ee? evde at mı koşturacaz sonra,-1
"@CENK08197944 @vekilince Vatana millete nasıl hayırlı olacağımızı sizin gibi gerizekalı, hiçbir şeye fayda sağlayamamış birine sormadık bu bir. İkincisi biz sizin aksinize insanız, eğlenmeye de ihtiyacımız var. Teknofest gibi her sene katıldığım ""Boş"" işlerle oyunların dengesini kendimiz kurabiliriz.",-1
"TEKNOFEST'e insansız sualtı sistemleri kategorisinde katılmış bir öğrenci olarak söylüyorum, bu oyunlara erişemememe sebep olan herkese hakkım haram olsun. Robot değilim ben. Gençliğimi de yaşamalıyım. Ama siz bize yaşanacak gençlik falan bırakmadınız. gerizekalı aptallar https://t.co/DrKoGKwVRx",-1
"@vekilince Ulan tavukçu, sosyete damat diye alay ettikleriniz. #Teknofest'le gençlere hayallerini gerçekleştirmeyi vaad ediyor. Senin gibi dangalaklar da, belki bir iki genci kandırır, oylarını alırım diye, çocuklarımızı daha çok uyuşturmak için, PlayStation üzerinden siyaset yapıyor.",1
"TEKNOFEST 2020 İnsanlık Yararına Teknoloji yarışması Afet Yönetimi kategorisinde Prof. Dr. İbrahim Türkoğlu danışmanlığında geliştirdikleri ""Enkaz altı arama kurtarma robotu"" projesi ile 1. olan Fırat Üniversitesi öğrencileri Teknokentimizi Ziyaret.
DETAY:
https://t.co/AvB9nUTIND https://t.co/DiA47ZR9CD",0
@vekilince Bizimkiler gençleri teknofest'e ağlıyorlar bilim için Türkiye için siz de gençleri çağımızın hastalığına mı davet ediyorsunuz ark bu Muharrem İnce,0
@CENK08197944 @vekilince Vatana millete hayırlı olan tipe bak Twitter'da millete akıl veriyor. Twitter'da vaktini boşuna harcayacağına TEKNOFEST'e katılsana,0
"boşuna vaktinizi bu gibi boş işlere harcamayın ,yapın üretin TEKNOFEST'e katılın vatana millete faydanız olsun https://t.co/5640BOmHIh",1
"@CENK08197944 @vekilince Teknofest’te bir işe imza atmış tüm mühendisler PlayStation 1 oynayan adamlar. Sen bilmezsin , kahvede iskambil oynayandan olmaz o tekno mekno mevzuları.",0
"@CENK08197944 @Samet_brdk @vekilince Hükümet ülkenin anasını bellese de suçu yine de kendinde, vatandaşta arayan bir seçmen. Harikasın Cenk. Yarın gidip hemen SİHA üreticem. Teknofest'de standıma beklerim.",1
teknofest ne ya hapçı mısınız https://t.co/RIOvSZfFK1,-1
@CENK08197944 @vekilince Teknofest şey mi abi artık sırnaktaki çocuklarımız da teknolojiye ulaşacak teknofest gaziantepte açıklamasının olduğu teknofest mi,0
Teknofest e katılacağımdan ps4 pro cihazımı satıyorum. Bu arkadaş uyandırdı beni. Teşekkürler cenk. https://t.co/xA86u0mtsF,1
@CENK08197944 @vekilince Oyun oynayamayan gençlerden teknofest’te bir şey beklemek nafile çabadır. Ancak oyun oynayanlar oyun tasarlayabilir. Sonra Peak games’in satış fiyatını görünce baygınlık geçiriyorsunuz. Salın şu gençleri artık. Yeter !#PS5,0
@vekilince Alttaki yorumları okuyunca ülkenin durumunu anliyorsunuz. Çünkü bu ülkede bir tek Playstation da vergi var değil mi ? Neymiş çocuklar silah yapacakmis yok teknofest e katilacaklarmis. Almanya Japonya gibi ülkelerde de PlayStation var orda almak bizdekinden daha kolay bilin istedim.,0
@CENK08197944 @vekilince sunun bi tipine bak hal hareketine bak bi de takip etmeyin yazmıs kimsin lan sen sebek teknolojiden bi sikim anlamazsın tek bildiğin sey teknofest kes sesini,-1
@suleymansoylu Sayın bakanım biz Hakkari den savaş tatlı ve zafe tatlı  Gaziantep teknofest e katılmıştık  buraya yani Hakkari ye gelince bizi  yanına çağıracağınızı söylemiştiniz  inş en kısa zamanda bir araya geliriz ❤️,0
"@vekilince Biri çıkar netflix der;
Diğeri playstation 5 der.
Bu çocuklara ve gençlere boşuna vaktinizi bu gibi boş işlere harcamayın ,yapın üretin TEKNOFEST'e katılın vatana millete faydanız olsun demezlerki?",1
"#DENEYAP Öğrencileri İnsanlık Yararına Proje Geliştiriyor🦾

Afetzedelere daha kolay ulaşmayı sağlamak amacıyla geliştirdikleri Yılan Robot projesi ile Göktürk Takımı,İnsanlık Yararına Teknoloji Yarışması finalisti olarak TEKNOFEST'teydi✅

🏫 İstanbul #DENEYAP Teknoloji Atölyesi https://t.co/IoG3FNR0f4",1
"@ysengoz @TAHSAVUNMA Çalışmıyor diyenlerin önünde, Teknofest'te çatır çatır uçup gösteri yaptı.",1
@Selcuk Hocam Teknofest montu istedik hiç duymadın. Tekrar istiyorum. 3 tane Teknofest montu istiyorum. İsteyenin bi yüzü kara.,0
Alanya BİLSEM öğrencilerinden TEKNOFEST 2020'den Türkiye 4.lüğü https://t.co/MmVH5CvJOR,0
“Benim İşim Girişim Yarışması” girişimcilerinin TEKNOFEST başarısı https://t.co/bc0K4pgYwY,1
"""Teknofest 2020"" de ""Robotik Biyolab Projesi"" ile Türkiye https://t.co/fpHQvTU8Fi olan Özel Başak Koleji 7. sınıf öğrencisi Ahmet Sina Kurt ve okul yöneticileri İl Milli Eğitim Müdürümüz Seyit Ali Büyük'ü ziyaret ettiler.
@tcmeb @ziyaselcuk 
@SeyitAliBuyuk
@KonyaBasakKolej https://t.co/BY8C8CjuBa",0
"@umitonaltr 
@TurkTelekom 
Ümit Bey 4 defa şikayette bulundum ancak altyapı sorunumun 1 buçuk ay içinde çözüleceği söylendi. üniversite öğrencisiyim ve internetim olmadığı için derslerime katılamıyorum.Aynı zamanda Teknofest 2021'e de hazırlanıyorum.",0
"""Malum, Teknofest’i damat Selçuk Bayraktar yönetiyor. Bu paylaşımdan sadece bir gün sonra THK’nin bozuk olmayan ve yağ kaçırmadığını ispat eden uçakları, apar topar festival alanından çıkarılacaktı.""",-1
"“Uçamaz dedikleri THK uçağı bakın Teknofest’te neler yapıyor:

CL-215 tipi yangın söndürme uçağı, Atatürk Havalimanı’ndan kalkış yaparak denizden 5.5 ton su alıp, pist kenarındaki belirenen alana suyu boşaltıyor. Saniyeler içinde ve 200 km hızla.” https://t.co/W8UroClZmf",0
"Uçan araba tasarımları ile Havacılık, Uzay ve Teknoloji Festivali TEKNOFEST 2020’de Türkiye birincisi olan Bahçeşehir Koleji öğrencileriyle gurur duyuyorum. Böyle parlak zekaya sahip gençlerimizin önlerini açarak, hedeflerine Türkiye’de ulaşmalarını sağlamalıyız. https://t.co/9EUmpMkvP0",1
"BİLSEM’in ""TEKNOFEST Mimarları’ ödüllendirildi #Kahramanmaraş https://t.co/MSDLFWze5z @marasgundem aracılığıyla",1
Benim İşim Girişim yarışması girişimcileri TEKNOFEST 2020’ye damga vurdu https://t.co/DCkxkuz92R #erciyesteknopark #oran #TEKNOFEST2020 https://t.co/OfeTWHwbgE,1
TEKNOFEST ŞAMPİYONLARINDAN BAŞKAN ATAÇ’A ZİYARET https://t.co/VCRXHapxhe  @tepebasibeltr,0
"PEM Mühendislik’in Desteklediği SUFAI Takımı, TEKNOFEST’den Ödülle Döndü

https://t.co/AzelTmHVxs
@thesufai",1
"📍Balkan Gençlik Forumu

#Türkiye’nin Güneydoğu Avrupa İşbirliği Süreci Dönem Başkanlığı kapsamında #YTB olarak Balkan Gençliği’ni buluşturduk.

Beyin göçü gibi #Balkanlar’ın güncel sorunlarını ve ülkemizin #TEKNOFEST gibi gençliğe ve inovasyona dair örnek çalışmalarını konuştuk. https://t.co/alFNeOzrTZ",1
@maviege25 @sputnik_TR Hurda dediğin uçak geçen yıl yangın olduğu zaman yağ damlatıyor denilmişti uçmadı. Üstelik tüm bakımları da yapılmıştı. Yalnızca 10 gün sonra Teknofest'te gösteri yapıldı. Cayır cayır uçuyor,0
@T3Vakfi Kardeşlerim benim teknofest t3 vakfi ve Baykar ailesi fırsat imkan veriyor sizlerde Allah için mücadele ediyorsunuz ve teknolojiniz ilminiz sonuc veriyor ne kadar güzel bir paylaşım ve sevinç değil mi,1
@Acibirazhadsiz Orası daha çok kafa dağıtmak için gidilen böyle aktiviteler oluyor kodlama filan öğretiyorlar resim müzik her şey var Tübitak için teknofest için projeler de yapıyoruz orda,1
Belediye Başkanımız Sayın Avukat Adil BİÇER okulumuzu ziyaret etti. Teknofest Çevre ve Enerji Teknolojileri Yarışmasına katılan “Aktif Çöpçüler” adlı projemizi yerinde inceledi. Projemize destek olacaklarını belirttiler. Kendilerine çok teşekkür ederiz. @simavmem43 @kutahyamem https://t.co/3kj72yEI9l,1
"Sakarya İl Milli Eğitim Müdürümüz Fazilet Durmuş, TEKNOFEST takımlarımızı makamında ağırlayarak çalışmalarını dinledi. Kendisine ilgisi ve desteği için çok teşekkür ediyoruz.
@sakaryamem @fazilet_durmus
⬇️🔗
https://t.co/tF79LILogq",1
@cjcjcj31 Ben geçen sene  kurduğum @astavihateam takımı ile Türkiye beşincisi olduğum Teknofest  savaşan iha yarışmasına uğraştığım için okul uzattım teknofestin   sitesine girip bakın finalist takımlarda  kaptan olarak ismim yazıyor bilip bilmeden konuşmayın.,0
"TEKNOFEST 2020’derece alan öğrenciler Rektör Çamsarı’yı ziyaret etti
https://t.co/fMXGOwQP7k",0
"Teknofest 2020 Türkiye https://t.co/FJtyMErMGA Drdır10, Kampüs Müdürümüz Dr. Canan Madenoğlu ve danışman öğretmenleri ile birlikte Tepebaşı Belediye Başkanı Ahmet Ataç’ı ziyaret etti. Sayın Ataç’a projemize gösterdiği ilgi ve nezaketi için teşekkür ediyoruz. https://t.co/NtFfciUzrF",1
@BursaTeknikUni @teknofest @Selcuk @btumatro Başka ülkelerde gördüğümüz tasarımlara benzemiyorlar.,0
"TEKNOFEST 2020'de Türkiye birinciliği başta gelmek üzere başarılı sonuçlar alan Sakarya Bilsem takımlarındaki danışman öğretmen ve öğrencilerimizi kutlayan merkez müdürümüz Mahmut Sami Akaryalı, kendilerine hediye takdim etti.
@erenlermem @3_ayhanersoy https://t.co/cM2nAp4nw6",1
"TEKNOFEST 2020'de başarılı sonuçlar alan Sakarya Bilsem takımlarındaki danışman öğretmen ve öğrencilerimizi kutlayan merkez müdürümüz Mahmut Sami Akaryalı, kendilerine hediye takdim etti.
@BilsemMeb @mehmetnezirg @mramazanbarin https://t.co/s8uABPRCvB",1
@biltekbartinuni @uzun_orhan @BUMuhendislik @Bartinmakine @Tubitak @T3Vakfi @teknofest @Selcuk @ProfHasanMandal @UstaogluAbid Birlikte her zaman daha ileriye 💪🏼🛠️🇹🇷,1
"TEKNOFEST 2020 Muhteşem Finali ile Gaziantep’te Sona Erdi

#TEKNOFEST2020 #Gaziantep @teknofestist

Haberimizin devamı için tıklayın: https://t.co/gxPbCl0OUM https://t.co/gxPbCl0OUM https://t.co/XVizd2tu9Y",1
"Geleceğin mühendisleri Rektör Karakaş’ı ziyaret etti

AKÜ Rektörü Mehmet Karakaş, #TEKNOFEST’te 2’inci olan lise öğrencilerini kabul etti. @Karakas1969 @kocatepeuniv @teknofestist @afyonilmem @Tubitak 
HABERİN DEVAMI İÇİN ⬇️
https://t.co/unI0FmSCfY",1
İl Milli Eğitim Müdürlüğü TEKNOFEST-2020’de dereceye girenleri ödüllendirdi https://t.co/fdzBqQPie5,1
"Teknofest Yerli ve Milli Teknoloji Geliştirmeye Yönelik Merak ve İnancı Aşılamak İçin Hiç de Azımsanmayacak Derecede Büyük Bir Öneme Sahip. Böyle Etkinlikler, Bizim de Teknoloji Geliştirebileceğimize Dair Yeni Nesillere Güçlü Bir Özgüven Veriyor. https://t.co/vRHt8sQGNz",1
"Teknofest Havacılık, Uzay ve Teknoloji Festivalinde; Çevre ve Enerji Teknolojileri Yarışmasında “Aktif Çöpçüler”Projesi ile Yarışmaya Katılan Simav Fen Lisesi Öğrenicilerimiz ile Okul Müdürümüz Hamza KARA, İdareci ve Öğretmenlerimizi Ziyaret Ederek, Projelerini Yerinde İnceledik. https://t.co/CZNIp4fTgA",0
